rank,start_x,end_x,start_y,end_y,local_nx,local_ny,iterations,exec_time,comm_time,overhead,final_error,iteration,neighbor,direction,n_points
0,,,,,,,,,1.9559997781470884e-06,,,116.0,2.0,right,24.0
0,,,,,,,,,4.0330000956601e-06,,,117.0,1.0,up,24.0
0,,,,,,,,,1.7800002751755528e-06,,,117.0,2.0,right,24.0
0,,,,,,,,,3.3480000638519414e-06,,,118.0,1.0,up,24.0
0,,,,,,,,,2.40400004258845e-06,,,118.0,2.0,right,24.0
0,,,,,,,,,4.405999789014459e-06,,,119.0,1.0,up,24.0
0,,,,,,,,,1.8149999050365295e-06,,,119.0,2.0,right,24.0
0,,,,,,,,,3.3699998311931267e-06,,,120.0,1.0,up,24.0
0,,,,,,,,,1.6559997675358318e-06,,,120.0,2.0,right,24.0
0,,,,,,,,,3.3339997571602e-06,,,121.0,1.0,up,24.0
0,,,,,,,,,3.205000211892184e-06,,,121.0,2.0,right,24.0
0,,,,,,,,,4.253000042808708e-06,,,122.0,1.0,up,24.0
0,,,,,,,,,1.7550000848132186e-06,,,122.0,2.0,right,24.0
0,,,,,,,,,3.3159999475174118e-06,,,123.0,1.0,up,24.0
0,,,,,,,,,2.4420000954705756e-06,,,123.0,2.0,right,24.0
0,,,,,,,,,3.884999841829995e-06,,,124.0,1.0,up,24.0
0,,,,,,,,,2.77700019069016e-06,,,124.0,2.0,right,24.0
0,,,,,,,,,2.832000063790474e-06,,,125.0,1.0,up,24.0
0,,,,,,,,,6.994000159465941e-06,,,125.0,2.0,right,24.0
0,,,,,,,,,3.6819997148995753e-06,,,126.0,1.0,up,24.0
0,,,,,,,,,2.285999926243676e-06,,,126.0,2.0,right,24.0
0,,,,,,,,,3.3549999898241367e-06,,,127.0,1.0,up,24.0
0,,,,,,,,,1.98499992620782e-06,,,127.0,2.0,right,24.0
0,,,,,,,,,4.245000127411913e-06,,,128.0,1.0,up,24.0
0,,,,,,,,,2.748000042629428e-06,,,128.0,2.0,right,24.0
0,,,,,,,,,3.3159999475174118e-06,,,129.0,1.0,up,24.0
0,,,,,,,,,1.432899989595171e-05,,,129.0,2.0,right,24.0
0,,,,,,,,,2.952000158984447e-06,,,130.0,1.0,up,24.0
0,,,,,,,,,4.887000159214949e-06,,,130.0,2.0,right,24.0
0,,,,,,,,,3.268999989813892e-06,,,131.0,1.0,up,24.0
0,,,,,,,,,3.5719999686989468e-06,,,131.0,2.0,right,24.0
0,,,,,,,,,3.2849998206074815e-06,,,132.0,1.0,up,24.0
0,,,,,,,,,2.0349998521851376e-06,,,132.0,2.0,right,24.0
0,,,,,,,,,4.176999937044457e-06,,,133.0,1.0,up,24.0
0,,,,,,,,,1.8099999579135329e-06,,,133.0,2.0,right,24.0
0,,,,,,,,,3.7800000427523628e-06,,,134.0,1.0,up,24.0
0,,,,,,,,,1.9439999050518963e-06,,,134.0,2.0,right,24.0
0,,,,,,,,,2.9140001061023213e-06,,,135.0,1.0,up,24.0
0,,,,,,,,,3.2250000003841706e-06,,,135.0,2.0,right,24.0
0,,,,,,,,,3.1439999474969227e-06,,,136.0,1.0,up,24.0
0,,,,,,,,,2.97900032819598e-06,,,136.0,2.0,right,24.0
0,,,,,,,,,4.831000296690036e-06,,,137.0,1.0,up,24.0
0,,,,,,,,,1.7279999156016856e-06,,,137.0,2.0,right,24.0
0,,,,,,,,,4.158999672654318e-06,,,138.0,1.0,up,24.0
0,,,,,,,,,1.6819999473227654e-06,,,138.0,2.0,right,24.0
0,,,,,,,,,3.4290001167391893e-06,,,139.0,1.0,up,24.0
0,,,,,,,,,2.3910001800686587e-06,,,139.0,2.0,right,24.0
0,,,,,,,,,4.00099997932557e-06,,,140.0,1.0,up,24.0
0,,,,,,,,,3.1760000638314523e-06,,,140.0,2.0,right,24.0
0,,,,,,,,,3.250000190746505e-06,,,141.0,1.0,up,24.0
0,,,,,,,,,2.211000264651375e-06,,,141.0,2.0,right,24.0
0,,,,,,,,,3.238000317651313e-06,,,142.0,1.0,up,24.0
0,,,,,,,,,2.2580002223548945e-06,,,142.0,2.0,right,24.0
0,,,,,,,,,3.203000233042985e-06,,,143.0,1.0,up,24.0
0,,,,,,,,,2.7539999791770242e-06,,,143.0,2.0,right,24.0
0,,,,,,,,,3.527999979269225e-06,,,144.0,1.0,up,24.0
0,,,,,,,,,2.8600002224266063e-06,,,144.0,2.0,right,24.0
0,,,,,,,,,4.118000106245745e-06,,,145.0,1.0,up,24.0
0,,,,,,,,,4.14099986301153e-06,,,145.0,2.0,right,24.0
0,,,,,,,,,3.145000391668873e-06,,,146.0,1.0,up,24.0
0,,,,,,,,,3.1730000955576543e-06,,,146.0,2.0,right,24.0
0,,,,,,,,,3.3100000109698158e-06,,,147.0,1.0,up,24.0
0,,,,,,,,,2.100000074278796e-06,,,147.0,2.0,right,24.0
0,,,,,,,,,3.6669998735305853e-06,,,148.0,1.0,up,24.0
0,,,,,,,,,1.9709996195160784e-06,,,148.0,2.0,right,24.0
0,,,,,,,,,3.000000106112566e-06,,,149.0,1.0,up,24.0
0,,,,,,,,,2.7969999791821465e-06,,,149.0,2.0,right,24.0
0,,,,,,,,,3.237999862903962e-06,,,150.0,1.0,up,24.0
0,,,,,,,,,3.3720002647896763e-06,,,150.0,2.0,right,24.0
0,,,,,,,,,3.1459999263461214e-06,,,151.0,1.0,up,24.0
0,,,,,,,,,2.9409998205665033e-06,,,151.0,2.0,right,24.0
0,,,,,,,,,3.2329999157809652e-06,,,152.0,1.0,up,24.0
0,,,,,,,,,3.0049995984882116e-06,,,152.0,2.0,right,24.0
0,,,,,,,,,3.0920000426704064e-06,,,153.0,1.0,up,24.0
0,,,,,,,,,3.6169999475532677e-06,,,153.0,2.0,right,24.0
0,,,,,,,,,3.544999799487414e-06,,,154.0,1.0,up,24.0
0,,,,,,,,,3.16299974656431e-06,,,154.0,2.0,right,24.0
0,,,,,,,,,3.6589999581337906e-06,,,155.0,1.0,up,24.0
0,,,,,,,,,3.2490002013219055e-06,,,155.0,2.0,right,24.0
0,,,,,,,,,2.987999778270023e-06,,,156.0,1.0,up,24.0
0,,,,,,,,,2.710999979171902e-06,,,156.0,2.0,right,24.0
0,,,,,,,,,3.250000190746505e-06,,,157.0,1.0,up,24.0
0,,,,,,,,,3.3090000215452164e-06,,,157.0,2.0,right,24.0
0,,,,,,,,,3.186999947502045e-06,,,158.0,1.0,up,24.0
0,,,,,,,,,2.813999799400335e-06,,,158.0,2.0,right,24.0
0,,,,,,,,,3.2580001061432995e-06,,,159.0,1.0,up,24.0
0,,,,,,,,,3.2029997782956343e-06,,,159.0,2.0,right,24.0
0,,,,,,,,,3.1820000003790483e-06,,,160.0,1.0,up,24.0
0,,,,,,,,,3.3000001167238224e-06,,,160.0,2.0,right,24.0
0,,,,,,,,,3.004000063810963e-06,,,161.0,1.0,up,24.0
0,,,,,,,,,2.8790000214939937e-06,,,161.0,2.0,right,24.0
0,,,,,,,,,3.4149998100474477e-06,,,162.0,1.0,up,24.0
0,,,,,,,,,2.757000402198173e-06,,,162.0,2.0,right,24.0
0,,,,,,,,,3.339999693707796e-06,,,163.0,1.0,up,24.0
0,,,,,,,,,2.9600000743812416e-06,,,163.0,2.0,right,24.0
0,,,,,,,,,3.117999767709989e-06,,,164.0,1.0,up,24.0
0,,,,,,,,,2.9709999580518343e-06,,,164.0,2.0,right,24.0
0,,,,,,,,,3.0290002541732974e-06,,,165.0,1.0,up,24.0
0,,,,,,,,,3.7459999475686345e-06,,,165.0,2.0,right,24.0
0,,,,,,,,,3.0350001907208934e-06,,,166.0,1.0,up,24.0
0,,,,,,,,,2.9259999791975133e-06,,,166.0,2.0,right,24.0
0,,,,,,,,,3.2089997148432303e-06,,,167.0,1.0,up,24.0
0,,,,,,,,,2.2210001588973682e-06,,,167.0,2.0,right,24.0
0,,,,,,,,,3.0600003810832277e-06,,,168.0,1.0,up,24.0
0,,,,,,,,,3.202000243618386e-06,,,168.0,2.0,right,24.0
0,,,,,,,,,3.117999767709989e-06,,,169.0,1.0,up,24.0
0,,,,,,,,,3.361999915796332e-06,,,169.0,2.0,right,24.0
0,,,,,,,,,2.9660000109288376e-06,,,170.0,1.0,up,24.0
0,,,,,,,,,2.8250001378182787e-06,,,170.0,2.0,right,24.0
0,,,,,,,,,2.9560001166828442e-06,,,171.0,1.0,up,24.0
0,,,,,,,,,2.7119999685965013e-06,,,171.0,2.0,right,24.0
0,,,,,,,,,3.241000285925111e-06,,,172.0,1.0,up,24.0
0,,,,,,,,,3.0169999263307545e-06,,,172.0,2.0,right,24.0
0,,,,,,,,,3.1290001061279327e-06,,,173.0,1.0,up,24.0
0,,,,,,,,,3.085000116698211e-06,,,173.0,2.0,right,24.0
0,,,,,,,,,3.012999968632357e-06,,,174.0,1.0,up,24.0
0,,,,,,,,,3.3609999263717327e-06,,,174.0,2.0,right,24.0
0,,,,,,,,,3.1820000003790483e-06,,,175.0,1.0,up,24.0
0,,,,,,,,,3.0950000109442044e-06,,,175.0,2.0,right,24.0
0,,,,,,,,,3.047999598493334e-06,,,176.0,1.0,up,24.0
0,,,,,,,,,3.2389998523285612e-06,,,176.0,2.0,right,24.0
0,,,,,,,,,2.989000222441973e-06,,,177.0,1.0,up,24.0
0,,,,,,,,,3.248000211897306e-06,,,177.0,2.0,right,24.0
0,,,,,,,,,3.1550002859148663e-06,,,178.0,1.0,up,24.0
0,,,,,,,,,3.1939998734742403e-06,,,178.0,2.0,right,24.0
